"id","code","name","user_type_id","reconcile","currency_id"
"__export__.account_account_2242_8977c599","100000","Opening Balance Adjustment","Current Assets","",""
"__export__.account_account_163_f7fba4b0","101001","Petty Cash","Bank and Cash","True",""
"__export__.account_account_2104_f56ee135","101002","Petty Cash - Warehouse","Bank and Cash","",""
"__export__.account_account_2218_99f6a034","101101","RAK Bank (AED)","Bank and Cash","",""
"__export__.account_account_2105_259f94c5","101102","RAK Bank (USD)","Bank and Cash","",""
"__export__.account_account_2106_5174bce3","101103","RAK Bank (GBP)","Bank and Cash","",""
"__export__.account_account_2107_88dc6a4a","101104","RAK Bank (EUR)","Bank and Cash","",""
"__export__.account_account_2108_74bb41a0","101105","FAB Bank AED","Bank and Cash","",""
"__export__.account_account_164_6250b316","101106","Mashreq AED","Bank and Cash","",""
"__export__.account_account_2110_dab47393","101107","ENBD AED","Bank and Cash","",""
"__export__.account_account_2111_4bed3860","101108","AMEX - 3009 (Prepaid)","Bank and Cash","",""
"l10n_ae.1_uae_account_102011","102001","Accounts Receivable","Receivable","True",""
"l10n_ae.1_uae_account_102012","102002","Accounts Receivable (PoS)","Receivable","True",""
"__export__.account_account_2115_1631529d","102501","Other Receivable","Receivable","True",""
"__export__.account_account_2116_759306f1","102502","Interest Receivable","Current Assets","",""
"__export__.account_account_2126_b1450a87","102503","Loans & Advances","Current Assets","",""
"__export__.account_account_2112_16a06ee6","103001","Investment in National Bond","Current Assets","",""
"__export__.account_account_2113_b05c8d9b","103002","Investment in CMC Market","Current Assets","",""
"__export__.account_account_2219_89f3623f","103003","Investment in Properties","Current Assets","",""
"__export__.account_account_2118_2167d783","104001","Security Deposit - Warehouse","Current Assets","",""
"__export__.account_account_2119_dfa1d12f","104002","Security Deposit - Rent A Car","Current Assets","",""
"__export__.account_account_2120_80f1ff8a","104003","Security Deposit - SEWA","Current Assets","",""
"__export__.account_account_2224_dc95cc65","104004","Security Deposit - Office","Current Assets","",""
"__export__.account_account_165_51145f21","105001","Inventory Printed","Current Assets","",""
"__export__.account_account_172_9f7f13af","105002","Inventory E-Book","Current Assets","",""
"l10n_ae.1_uae_account_104041","106001","VAT Input","Current Assets","",""
"__export__.account_account_2236_e53affc4","106002","VAT Input- RCM","Current Assets","",""
"__export__.account_account_2114_49efcca5","107001","Investment in Pinnacle Education","Non-current Assets","",""
"l10n_ae.1_uae_account_100103","107002","Fixed Deposit","Non-current Assets","",""
"__export__.account_account_2225_c0665791","108001","Prepaid Warehouse Insurance","Prepayments","",""
"__export__.account_account_2121_d8c76b57","108002","Prepaid License Fee","Prepayments","",""
"__export__.account_account_2122_ff4d8310","108003","Prepaid Medical Insurance","Prepayments","",""
"__export__.account_account_2123_ce55a6bd","108004","Prepaid Rent","Prepayments","",""
"__export__.account_account_2124_c4e58612","108005","Prepaid Visa Expenses","Prepayments","",""
"__export__.account_account_2125_83564e57","108006","Prepaid Others","Prepayments","",""
"__export__.account_account_2127_f87e7a31","109001","Office Equipments","Fixed Assets","",""
"__export__.account_account_2128_b9fc6fad","109002","Motor Vehicle","Fixed Assets","",""
"__export__.account_account_2129_9fa87b2c","109003","Computer and Laptops","Fixed Assets","",""
"__export__.account_account_2130_3fa18c27","109004","Furniture & Fixtures","Fixed Assets","",""
"__export__.account_account_2131_42d5dafc","109005","Store Equipments","Fixed Assets","",""
"__export__.account_account_2132_7562c5b9","110001","Accumulated Depreciation-Office Equipments","Fixed Assets","",""
"__export__.account_account_2133_9cf3fefc","110002","Accumulated Depreciation-Motor Vehicle","Fixed Assets","",""
