id,Analytic Account,Reference,Customer,Company,Debit,Credit,Balance
panworld_Schools,Schools,,,Panworld General Trading LLC,,,
panworld_Higher_Education,Higher Education,,,Panworld General Trading LLC,,,
panworld_eCom_Wholesale,eCom Wholesale- Afaq SA,,,Panworld General Trading LLC,,,
panworld_eCom_Retail,eCom Retail Amazon.SA- FMN,,,Panworld General Trading LLC,,,
panworld_Wholesale,Wholesale & Corporate,,,Panworld General Trading LLC,,,
panworld_Inter_company,Inter-company,,,Panworld General Trading LLC,,,
panworld_ecom_other,eCom Retail- Other,,,Panworld General Trading LLC,,,
panworld_ecom_noon,eCom Retail- Noon,,,Panworld General Trading LLC,,,
panworld_ecom_qtech,eCom Wholesale Q-Tech AE,,,Panworld General Trading LLC,,,
panworld_ecom_wholesale_egypt,eCom Wholesale Souq.com Egypt,,,Panworld General Trading LLC,,,
panworld_ecom_retail_ae_mfn,eCom Retail Amazon.AE- MFN,,,Panworld General Trading LLC,,,
panworld_book_fairs,Book fairs,,,Panworld General Trading LLC,,,
panworld_events,Events,,,Panworld General Trading LLC,,,
panworld_na,Not Applicable,,,Panworld General Trading LLC,,,
panworld_ecom_retail_ae_flex,eCom Retail Amazon.AE- Flex,,,Panworld General Trading LLC,,,
panworld_ecom_sa_flex,eCom Retail Amazon.SA- Flex,,,Panworld General Trading LLC,,,
pinnacle_Schools,Schools,,,Pinnacle Educational Supplies LLC,,,
pinnacle_Higher_Education,Higher Education,,,Pinnacle Educational Supplies LLC,,,
pinnacle_eCom_Wholesale,eCom Wholesale- Afaq SA,,,Pinnacle Educational Supplies LLC,,,
pinnacle_eCom_Retail,eCom Retail Amazon.SA- FMN,,,Pinnacle Educational Supplies LLC,,,
pinnacle_Wholesale,Wholesale & Corporate,,,Pinnacle Educational Supplies LLC,,,
pinnacle_Inter_company,Inter-company,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_other,eCom Retail- Other,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_noon,eCom Retail- Noon,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_qtech,eCom Wholesale Q-Tech AE,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_wholesale_egypt,eCom Wholesale Souq.com Egypt,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_retail_ae_mfn,eCom Retail Amazon.AE- MFN,,,Pinnacle Educational Supplies LLC,,,
pinnacle_book_fairs,Book fairs,,,Pinnacle Educational Supplies LLC,,,
pinnacle_events,Events,,,Pinnacle Educational Supplies LLC,,,
pinnacle_na,Not Applicable,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_retail_ae_flex,eCom Retail Amazon.AE- Flex,,,Pinnacle Educational Supplies LLC,,,
pinnacle_ecom_sa_flex,eCom Retail Amazon.SA- Flex,,,Pinnacle Educational Supplies LLC,,,
panworld_edu_fzc_Schools,Schools,,,Panworld Education FZC,,,
panworld_edu_fzc_Higher_Education,Higher Education,,,Panworld Education FZC,,,
panworld_edu_fzc_eCom_Wholesale,eCom Wholesale- Afaq SA,,,Panworld Education FZC,,,
panworld_edu_fzc_eCom_Retail,eCom Retail Amazon.SA- FMN,,,Panworld Education FZC,,,
panworld_edu_fzc_Wholesale,Wholesale & Corporate,,,Panworld Education FZC,,,
panworld_edu_fzc_Inter_company,Inter-company,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_other,eCom Retail- Other,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_noon,eCom Retail- Noon,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_qtech,eCom Wholesale Q-Tech AE,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_wholesale_egypt,eCom Wholesale Souq.com Egypt,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_retail_ae_mfn,eCom Retail Amazon.AE- MFN,,,Panworld Education FZC,,,
panworld_edu_fzc_book_fairs,Book fairs,,,Panworld Education FZC,,,
panworld_edu_fzc_events,Events,,,Panworld Education FZC,,,
panworld_edu_fzc_na,Not Applicable,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_retail_ae_flex,eCom Retail Amazon.AE- Flex,,,Panworld Education FZC,,,
panworld_edu_fzc_ecom_sa_flex,eCom Retail Amazon.SA- Flex,,,Panworld Education FZC,,,
